"","Salary","Age","G","MP","mean_views","PTS","GS","X3P.","X2P.","FT.","PF","STL","BLK","TOV","Play","Season","Pos1"
"1214",4221000,24,46,30.2,512.057534246575,11.3,44,0.354,0.441,0.797,3.6,1.5,0.5,2.3,0,3,3
"1215",8641000,25,43,29.8,398.128767123288,8,40,0.265,0.583,0.578,2.6,1.3,0.9,1.3,0,3,4
"1216",7560000,37,70,19.1,3571.53698630137,8.6,0,0.397,0.467,0.822,1.5,0.4,0.2,0.8,0,3,5
"1217",1689840,23,70,33.1,2958.13150684931,18.7,68,0.303,0.553,0.752,2.4,0.6,0.4,1.9,0,3,2
"1218",32700000,32,65,34,1994.34794520548,14.2,65,0.347,0.514,0.83,2.6,1.4,0.5,2.8,1,3,3
"1219",4449000,28,45,8.2,282.890410958904,3.5,3,0.083,0.548,0.81,1.5,0.2,0.6,0.7,0,3,1
"1220",20099189,26,67,33,8132.51780821918,23.8,67,0.401,0.533,0.873,2.5,1.5,0.5,2.6,1,3,3
"1221",22347015,33,81,33.2,1047.01643835616,21.3,81,0.238,0.528,0.847,2.2,0.5,1.3,1.8,1,3,1
"1222",4449000,28,68,16.5,820.448087431694,7.2,3,0.371,0.472,0.685,1.6,0.6,0.1,1.3,0,3,5
"1223",7119650,30,46,17,276.032786885246,4.5,17,0.278,0.475,0.75,1.8,0.4,0.2,0.5,0,3,2
"1224",1705920,21,79,22.8,337.917808219178,9.1,27,0.422,0.453,0.806,2,0.5,0.1,0.6,0,3,5
"1225",7000000,27,80,21.8,146.668493150685,8.4,4,0.355,0.449,0.844,1.7,0.5,0.1,0.3,0,3,5
"1226",4536120,21,52,32.3,1283.21917808219,18.7,51,0.361,0.479,0.872,2.3,0.7,0.6,1.6,0,3,2
"1227",35654150,34,55,35.2,34147.9616438356,27.4,55,0.339,0.582,0.665,1.7,1.3,0.6,3.6,1,3,4
"1228",2360160,20,17,6.9,517.868493150685,2.6,0,0.385,0.333,0.8,0.4,0.4,0.2,0.2,0,3,5
"1229",7461960,21,47,30.3,4411.67945205479,9.9,45,0.329,0.482,0.417,2.4,1.5,0.4,2.2,0,3,3
"1232",4320500,32,4,15.3,377.948087431694,5,0,0.333,0.5,0.4,2,0.3,0.3,0.5,0,3,2
"1233",6569040,19,72,32.2,4626.4904109589,21.2,72,0.327,0.503,0.713,1.9,1.1,0.3,3.4,0,3,5
"1234",3275280,22,63,22.8,395.238356164384,9.7,10,0.394,0.486,0.836,1.5,0.4,0.2,0.9,0,3,5
"1235",1619260,23,46,17,232.712328767123,7,18,0.363,0.411,0.826,0.9,0.6,0.9,0.5,0,3,2
"1236",16747954,33,22,17.8,1264.95901639344,7.1,2,0.318,0.608,0.714,1.1,0.7,0.4,0.6,0,3,4
"1237",1569360,23,22,4.7,288.939516129032,1.4,0,0.32,0.25,0.8,0.6,0,0,0.4,0,3,5
"1238",1544951,26,64,28.6,959.01095890411,15.6,64,0.426,0.544,0.928,1.6,0.7,0.2,1.4,0,3,5
"1239",1773840,22,81,23.2,170.427397260274,11.3,18,0.402,0.56,0.848,1.4,0.7,0.1,0.7,0,3,5
"1240",3447480,20,73,17.2,522.791780821918,8.9,0,0.33,0.461,0.882,1.5,0.5,0.3,1.2,0,3,5
