"Year","Month","Day_of_Week","Hour","Division","Location","Brand","Type","Speed","Colour","Cost","Status","Total_theft"
2024,2,3,8,51,4,2,5,30,1,1269.98,1,9
2024,2,4,14,14,1,2,5,32,1,4000,1,30
2024,2,4,22,13,1,2,4,7,1,950,1,30
2024,2,5,17,33,2,2,2,55,1,2300,1,18
2024,2,5,17,23,2,2,2,21,1,1200,1,18
2024,2,4,16,51,5,2,5,1,5,800,1,30
2024,2,6,18,51,2,2,5,1,1,400,1,18
2024,2,7,2,14,2,2,5,3,8,1200,1,11
2024,2,7,20,51,3,2,2,40,1,3000,1,11
2024,2,6,8,23,2,2,2,32,1,1873.54,1,18
2024,2,1,7,42,3,2,2,20,1,598,1,11
2024,2,1,17,41,3,2,5,50,8,1566.96,1,11
2024,2,4,11,14,5,2,5,7,7,1500,1,30
2024,2,4,4,13,1,2,4,21,2,800,1,30
2024,2,4,4,13,1,1,4,18,1,350,1,30
2024,2,4,9,52,2,2,4,12,4,1000,1,30
2024,3,5,16,11,1,2,1,1,7,600,1,25
2024,3,6,6,11,1,2,5,18,7,500,1,21
2024,2,6,23,52,2,2,2,5,1,2500,1,18
2024,3,7,10,13,1,2,2,5,4,1800,1,13
2024,3,7,4,13,1,2,5,12,7,7188.9,1,13
2024,3,2,16,52,3,2,5,1,7,600,1,19
2024,3,2,8,13,5,2,2,18,6,4000,1,19
2024,3,2,9,55,1,2,5,10,7,1500,1,19
2024,3,2,2,55,1,2,4,21,7,500,1,19
2023,12,5,10,51,1,1,5,21,1,800,1,21
2024,3,4,19,52,4,1,5,3,7,1089,1,14
2024,3,4,13,11,2,2,4,21,1,400,1,14
2024,2,2,16,41,2,2,3,21,1,1800,1,12
2024,3,6,9,51,1,2,1,10,4,500,1,21
2024,3,5,5,14,5,2,5,7,8,500,1,25
2024,3,6,23,11,5,1,4,10,1,461,1,21
2024,3,6,23,11,5,1,4,12,4,1000,1,21
2024,3,1,14,51,4,2,4,50,7,700,1,12
2024,3,1,10,52,2,2,1,21,8,100,1,12
2024,2,5,10,14,5,2,5,14,5,500,1,18
2024,3,2,13,41,3,2,2,9,8,2500,1,19
2024,3,2,20,14,1,2,1,5,2,750,1,19
2024,3,2,18,14,3,2,3,15,1,699,1,19
